5 44 14 62 61 68 98 13 72 56
75 25 47 49 19 46 93 75 89 39
31 40 79 2 92 71 24 85 89 19
60 90 64 49 84 20 45 15 15 70
44 94 23 10 5 74 34 2 100 58
14 43 74 29 97 27 34 91 80 4
96 78 75 83 17 91 14 64 94 5
26 8 100 74 44 62 15 51 13 98
47 98 71 6 90 50 21 20 31 71
29 35 37 87 78 95 56 17 11 97
12 10 35 80 37 14 93 10 40 44
98 96 51 67 51 62 63 61 56 2
67 10 19 50 92 57 25 79 11 28
8 66 17 57 2 30 77 78 63 91
39 65 2 60 73 82 93 22 95 31
6 69 53 15 80 10 39 60 17 64
85 1 17 58 99 59 40 22 36 66
11 80 11 73 68 82 14 35 65 79
53 71 71 64 59 3 11 58 57 89
49 83 97 10 47 83 53 97 53 95
